id,tweet,label,label_num
1.32568E+18,coronavirus some canadians hesitant to take a covid vaccine global news,AntiVax,1
1.32568E+18,moderna on track to report late-stage covid vaccine data next month the vaccine is currently being tested in a large human trial and moderna was in talks with a who-led group for distribution jpost,Neutral,2
1.32569E+18,the philippine government is in talks with anglo-swedish drugmaker astrazeneca to procure doses of its prospective covid vaccine dygalvezinq,Neutral,2
1.32569E+18,care homes to be first to receive coronavirus vaccine that could roll out before christmas,Neutral,2
1.3257E+18,this is why thinking that a vaccine is a panacea is a dangerous idea you can outsmart evolution at your own peril,AntiVax,1
1.3257E+18,hospitals are reportedly being prepped for a possible coronavirus vaccine roll out within three weeks drhilaryjones says it is optimistic to think many people will be vaccinated before christmas but it is good news watch gmb for the latest,Neutral,2
1.32572E+18,zambia in talks with russia on accessing sputnik v coronavirus vaccine,Neutral,2
1.32577E+18,pfizer says its coronavirus vaccine is more than percent effective compared to a placebo and has no major side effects study involved people,Neutral,2
1.32577E+18,qa where are we in the covid vaccine race,Neutral,2
1.32577E+18,more good news i could get used to this covid vaccine candidate is effective says manufacturer,ProVax,0
1.32577E+18,great job by the #pfizer #vaccine scientists who look to have come up with a viable candidate fingers crossed that they hit their long-term efficacy endpoints s and the safety outcomes don't put the kibosh on it #pharma,ProVax,0
1.32578E+18,i stand with every true englishman when i say keep your filthy euro-immigrant vaccine out of my veins mr barnier,AntiVax,1
1.32579E+18,effective at what is it full of poison and heavy metals like all the other vaccines you make no thanks pretty sure i can survive the common cold on my own thanks tho,AntiVax,1
1.3258E+18,apparently pfizer says they developed a coronavirus vaccine candidate with a success rate of over but if i do absolutely nothing i have less than a chance of getting it no thanks i think ill take my chances without it or any other vaccine,AntiVax,1
1.3258E+18,im only gonna take the vaccine because if my great great grandkids die of covid it will be my fault,ProVax,0
1.3258E+18,i wonder what the logistics of a covid vaccine are will nations share the vaccines across borders or will they prioritise their citizens either way this sounds like good news,ProVax,0
1.3258E+18,great news but it's not going to be available for widespread administration for several months likely so keep wearing masks social distancing and avoiding gatherings we also are going to have to deal with the anti-vaxxers who won't even consider taking this vaccine :/,ProVax,0
1.3258E+18,is this the vaccine approved by trump and pence i can't take my chances when i'm dead so i'll stay alive thanx anyway tho,AntiVax,1
1.32581E+18,inject this straight into my veins me to pfizer executives when the covid vaccine is available,ProVax,0
1.32582E+18,while we have been fighting and struggling and also helping each other and coping scientists have been hard at work for us #ibelieveinscience #covid #vaccine #goodnews,ProVax,0
1.32583E+18,they can have their vaccine i want the right to say no not in my body we will only have that right under donald j trump,AntiVax,1
1.32584E+18,i am curious if my niece will be able to even have a covid vaccine because she has allergies if she isnt able to we still gotta protect her somehow,ProVax,0
